name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Mohammad Santo,23,Bangladesh,0,8,0,0,0,0,0,0,0,7,102,123,2
Mohammad Shahid,33,Bangladesh,1,48,16,9,61,81,2,4,3,47,923,1193,56
Mohammad Shahzada,35,Bangladesh,0,5,3,1,9,13,1,0,1,3,54,78,4
Mohiuddin Tareq,18,Bangladesh,0,12,2,2,1,3,0,0,3,11,206,271,16
Mohor Sheikh,24,Bangladesh,0,15,7,5,2,9,0,0,5,14,264,340,16
Moin Khan,26,Bangladesh,0,7,5,0,67,65,2,3,1,5,73,110,2
Moinul Islam,29,Bangladesh,0,5,3,0,35,39,3,1,0,1,18,26,2
Mominul Haque,30,Bangladesh,6,122,106,16,2134,1884,220,39,41,22,276,350,13
Monir Hossain,36,Bangladesh,0,42,18,7,73,71,9,1,5,42,848,968,35
Mosaddek Hossain,26,Bangladesh,16,111,98,27,1691,1470,130,53,43,75,975,1135,39
Mrittunjoy Chowdhury,20,Bangladesh,0,14,8,3,43,38,1,3,3,12,224,315,18
Mukidul Islam,21,Bangladesh,0,33,13,6,42,47,2,3,11,30,596,871,33
Muktar Ali,32,Bangladesh,1,90,59,28,548,535,34,23,31,78,1315,1818,76
Munim Shahriar,23,Bangladesh,0,21,20,1,536,372,54,25,0,0,0,0,0
Mushfiqur Rahim,34,Bangladesh,99,239,221,49,4989,3952,421,141,177,0,0,0,0
Mustafizur Rahman,26,Bangladesh,61,180,57,32,143,195,8,9,35,179,3923,4749,240
Myshukur Rahaman,30,Bangladesh,0,15,13,5,156,142,9,7,1,1,12,17,0
Nabil Samad,35,Bangladesh,0,77,17,8,15,39,1,0,14,73,1496,1647,58
Nadif Chowdhury,34,Bangladesh,3,61,47,6,539,514,33,19,14,4,48,64,3
Naeem Islam,35,Bangladesh,10,91,77,20,1303,1193,109,35,30,36,463,608,25
Naeem Islam jnr,27,Bangladesh,0,28,10,2,63,71,5,0,9,25,444,539,14
Nahid Hasan,24,Bangladesh,0,6,2,1,6,3,1,0,0,6,96,153,1
Nahidul Islam,28,Bangladesh,0,63,39,11,417,356,31,14,25,53,887,900,42
Najmul Hossain Shanto,23,Bangladesh,6,92,86,7,1824,1486,157,66,41,13,116,137,5
Nasir Hossain,30,Bangladesh,31,131,108,17,1931,1674,160,51,50,95,1485,1854,59
Nasum Ahmed,27,Bangladesh,18,73,24,6,101,128,6,4,15,72,1434,1528,61
Nayeem Hasan,22,Bangladesh,0,47,28,9,197,241,13,1,17,44,818,992,36
Nazmul Hossain Milon,34,Bangladesh,0,71,60,20,799,679,41,35,24,8,72,125,2
Nazmul Islam,29,Bangladesh,13,92,25,14,84,91,7,1,22,87,1596,1999,71
Nihaduzzaman,23,Bangladesh,0,12,7,1,44,46,3,1,4,12,207,244,6
Noman Chowdhury,20,Bangladesh,0,2,0,0,0,0,0,0,0,2,30,52,0
Nurul Hasan,28,Bangladesh,30,145,129,36,1916,1515,143,72,125,0,0,0,0
Nuruzzaman,27,Bangladesh,0,6,4,0,33,53,3,0,4,1,6,6,1
Parvez Hossain Emon,19,Bangladesh,0,25,25,1,570,462,44,37,8,0,0,0,0
Pinak Ghosh,23,Bangladesh,0,5,5,2,74,79,7,1,3,0,0,0,0
Pritom Kumar,20,Bangladesh,0,12,9,2,69,50,4,5,12,0,0,0,0
Qazi Onik,22,Bangladesh,0,16,6,4,24,41,1,1,3,16,280,479,15
Rafsan Al Mahamud,26,Bangladesh,0,6,6,1,63,54,10,0,0,1,6,5,1
Rahatul Ferdous,26,Bangladesh,0,11,7,1,120,116,4,6,2,8,150,152,10
Rahmat Ali,24,Bangladesh,0,1,1,0,0,2,0,0,0,0,0,0,0
Raihan Uddin,30,Bangladesh,0,3,0,0,0,0,0,0,0,3,54,70,3
Rajibul Islam,27,Bangladesh,0,9,8,2,134,121,9,6,2,7,120,112,4
Rakibul Atik,22,Bangladesh,0,2,0,0,0,0,0,0,0,2,48,59,3
Rakibul Hasan,19,Bangladesh,0,18,5,3,14,20,0,1,4,16,354,374,19
Rakibul Islam,24,Bangladesh,0,3,2,1,3,8,0,0,1,0,0,0,0
Rakin Ahmed,28,Bangladesh,0,12,12,4,326,290,31,8,4,0,0,0,0
Raqibul Hasan,34,Bangladesh,5,36,31,5,375,386,34,7,8,0,0,0,0
Rayan Rahman,23,Bangladesh,0,13,11,3,169,136,11,6,4,4,42,57,0
Rejaur Rahman Raja,22,Bangladesh,0,20,7,3,30,44,0,1,9,19,368,433,17
Rishad Hossain,19,Bangladesh,0,14,8,2,51,35,4,3,11,13,148,222,6
Robiul Haque,22,Bangladesh,0,10,8,5,64,56,5,2,2,10,183,292,8
Robiul Islam Robi,31,Bangladesh,0,22,18,3,263,272,29,5,4,18,297,383,15
Rony Chowdhury,26,Bangladesh,0,3,0,0,0,0,0,0,0,3,42,57,3
Rony Talukdar,31,Bangladesh,1,85,82,2,1513,1224,150,55,30,0,0,0,0
Rubel Hossain,32,Bangladesh,28,141,48,24,133,149,8,5,32,140,2938,3870,171
Rubel Mia,29,Bangladesh,0,11,11,2,312,276,32,8,3,3,60,58,3
Ruyel Miah,21,Bangladesh,0,12,3,1,8,12,1,0,2,12,232,309,12
Sabbir Hossain,24,Bangladesh,0,14,13,0,281,237,19,16,7,4,39,67,0
Sabbir Rahman,30,Bangladesh,44,181,168,22,3646,3059,298,131,102,36,391,471,19
Sadikur Rahman,29,Bangladesh,0,8,8,0,91,75,10,2,3,0,0,0,0
Saif Hassan,23,Bangladesh,2,30,27,1,683,599,61,29,16,5,37,47,3
Sajjadul Haque,32,Bangladesh,0,9,7,2,128,98,7,8,1,0,0,0,0
Salauddin Sakil,32,Bangladesh,0,19,3,3,0,1,0,0,8,19,375,532,25
Salman Hossain,26,Bangladesh,0,13,9,3,105,128,6,1,2,1,6,7,0
Sanjit Saha,24,Bangladesh,0,12,4,2,9,25,0,0,2,12,225,299,11
Saqlain Sajib,33,Bangladesh,1,51,16,12,44,46,2,1,9,50,992,1185,47
Sayem Alam,28,Bangladesh,0,10,8,0,28,50,0,2,2,0,0,0,0
Shadman Islam,26,Bangladesh,0,11,11,0,166,195,18,1,7,0,0,0,0
Shafiqul Islam,24,Bangladesh,0,27,7,2,16,11,2,1,6,26,503,636,33
Shafiul Hayet,24,Bangladesh,0,3,2,1,18,12,3,0,2,0,0,0,0
Shafiul Islam,32,Bangladesh,20,110,35,18,156,176,14,3,22,108,2140,2912,113
Shahadat Hossain,35,Bangladesh,6,34,14,8,49,49,3,1,2,32,600,818,27
